Destination,Nearby_Places,Recommended_Days,Estimated_Cost_INR,Type,State
Tirupati,"Tirumala Temple, Kapila Theertham",2,4000–7000,Religious,Andhra Pradesh
Vijayawada,"Kanaka Durga Temple, Undavalli Caves",2,4000–7000,"Religious, Urban",Andhra Pradesh
Amaravati,"Amaravati Stupa, Amareswara Temple",1–2,3000–5000,"Heritage, Spiritual",Andhra Pradesh
Srisailam,"Mallikarjuna Temple, Srisailam Dam",2,4000–7000,"Spiritual, Nature",Andhra Pradesh
Lepakshi,"Veerabhadra Temple, Hanging Pillar",1,3000–5000,"Historical, Religious",Andhra Pradesh
Kurnool,"Belum Caves, Konda Reddy Fort",2,4000–7000,"Caves, Historical",Andhra Pradesh
Rajahmundry,"Godavari Bridge, ISKCON Temple",2,4000–6000,"Riverfront, Cultural",Andhra Pradesh
Nellore,"Ranganatha Temple, Mypadu Beach",2,3000–6000,"Religious, Beach",Andhra Pradesh
Anantapur,"Lepakshi Temple, Penukonda Fort",1–2,3500–6000,"Historical, Religious",Andhra Pradesh
Kadapa,"Gandikota Fort, Vontimitta Temple",2,4000–7000,"Canyon, Religious",Andhra Pradesh
Horsley Hills,"View Point, Environmental Park",2,4000–7000,Hill Station,Andhra Pradesh
Machilipatnam,"Manginapudi Beach, Lighthouse",2,3500–6000,"Beach, Coastal",Andhra Pradesh
Guntur,"Uppalapadu Bird Sanctuary, Kondaveedu Fort",2,4000–7000,"Nature, Historical",Andhra Pradesh
Chandragiri,Chandragiri Fort,1,3000–5000,"Fort, Historical",Andhra Pradesh
Nagarjuna Sagar,"Dam, Ethipothala Falls",2,4000–7000,"Nature, Dam",Andhra Pradesh
Mangalagiri,Panakala Swamy Temple,1,3000–5000,Religious,Andhra Pradesh
Draksharamam,Bhimeswara Swamy Temple,1,3000–5000,Spiritual,Andhra Pradesh
Bhavani Island,"Water Sports, Nature Trails",1,3000–5000,"Leisure, Nature",Andhra Pradesh
Munnar,"Tea Estates, Eravikulam National Park",2–3,5000–9000,"Hill Station, Nature",Kerala
Alleppey,"Backwaters, Houseboat Cruise",2,6000–10000,"Backwaters, Leisure",Kerala
Thekkady,Periyar Wildlife Sanctuary,2,5000–8000,"Wildlife, Nature",Kerala
Kochi,"Fort Kochi, Marine Drive, Chinese Fishing Nets",2,4000–7000,"Historical, Coastal",Kerala
Wayanad,"Edakkal Caves, Banasura Sagar Dam",2–3,5000–9000,"Hill Station, Adventure",Kerala
Kovalam,"Lighthouse Beach, Hawa Beach",2,4000–7000,"Beach, Relaxation",Kerala
Varkala,"Varkala Cliff, Papanasam Beach",2,4000–7000,"Beach, Scenic",Kerala
Thrissur,"Vadakkunnathan Temple, Athirapally Falls",2,4000–7000,"Cultural, Nature",Kerala
Palakkad,"Silent Valley, Palakkad Fort",2,4000–7000,"Nature, Historical",Kerala
Guruvayur,"Guruvayur Temple, Elephant Camp",1–2,3000–5000,Religious,Kerala
Bekal,"Bekal Fort, Bekal Beach",1–2,3000–6000,"Fort, Beach",Kerala
Poovar,"Poovar Island, Estuary",2,4000–7000,"Backwater, Leisure",Kerala
Kumarakom,"Bird Sanctuary, Backwaters",2,5000–8000,"Nature, Bird Watching",Kerala
Idukki,"Idukki Dam, Hill View Park",2,4000–7000,"Hills, Dam",Kerala
Malampuzha,"Malampuzha Dam, Garden",1–2,3000–5000,"Nature, Family",Kerala
Ponmudi,"Golden Peak, Kallar River",1–2,3000–6000,Hill Station,Kerala
Thiruvananthapuram,"Padmanabhaswamy Temple, Museum",2,4000–7000,"Cultural, Religious",Kerala
Pathanamthitta,"Sabarimala, Aranmula",2,4000–6000,Pilgrimage,Kerala
Kalpetta,"Pookode Lake, Soochipara Falls",2,4000–7000,"Nature, Adventure",Kerala
Nelliampathy,"Pothundy Dam, Seetharkundu Viewpoint",2,4000–7000,"Hill Station, Scenic",Kerala
Bengaluru,"Lalbagh, Cubbon Park",2,5000–8000,"Urban, Gardens",Karnataka
Mysuru,"Mysore Palace, Chamundi Hills",2,4000–7000,"Cultural, Historical",Karnataka
Coorg,"Abbey Falls, Dubare Elephant Camp",2–3,6000–10000,"Hill Station, Nature",Karnataka
Hampi,"Vittala Temple, Virupaksha Temple",2–3,5000–8000,"Heritage, Ruins",Karnataka
Badami,"Cave Temples, Agastya Lake",2,4000–7000,"Heritage, Rock Cut",Karnataka
Gokarna,"Om Beach, Kudle Beach",2,4000–7000,"Beach, Spiritual",Karnataka
Chikmagalur,"Mullayanagiri, Coffee Estates",2–3,5000–9000,"Hill Station, Coffee",Karnataka
Udupi,"Krishna Temple, Malpe Beach",2,4000–7000,"Religious, Coastal",Karnataka
Murudeshwar,"Shiva Statue, Beach",1–2,3000–6000,"Spiritual, Beach",Karnataka
Belur,Chennakesava Temple,1,3000–5000,"Heritage, Architecture",Karnataka
Halebidu,Hoysaleswara Temple,1,3000–5000,"Temple, History",Karnataka
Bijapur,"Gol Gumbaz, Ibrahim Rauza",2,4000–7000,"Historical, Architecture",Karnataka
Jog Falls,Waterfalls,1–2,4000–7000,"Waterfall, Scenic",Karnataka
Kabini,"Kabini River Lodge, Safari",2,6000–10000,"Wildlife, Luxury",Karnataka
Shimoga,"Tyavarekoppa Lion Safari, Sakrebailu",2,4000–7000,"Nature, Wildlife",Karnataka
Agumbe,"Sunset Point, Rainforest Trails",1–2,3000–6000,"Rainforest, Scenic",Karnataka
Sakleshpur,"Manjarabad Fort, Coffee Estates",2,4000–7000,"Nature, Hill Station",Karnataka
Dandeli,"Kali River, Adventure Sports",2–3,5000–9000,"Adventure, Nature",Karnataka
Nandi Hills,"Tipu's Fort, Sunrise Point",1,3000–5000,"Hill Station, Short Trip",Karnataka
Shravanabelagola,Gommateshwara Statue,1,3000–5000,"Religious, Monument",Karnataka
Hyderabad,"Charminar, Golconda Fort",2–3,6000–9000,"Urban, Historical",Telangana
Warangal,"Warangal Fort, Thousand Pillar Temple",2,4000–7000,"Heritage, Cultural",Telangana
Nagarjuna Sagar,"Dam, Ethipothala Falls",2,4000–7000,"Nature, Dam",Telangana
Nalgonda,"Yadagirigutta, Bhongir Fort",2,4000–7000,"Spiritual, Fort",Telangana
Bhadrachalam,"Sri Rama Temple, Godavari River",2,4000–7000,"Spiritual, Pilgrimage",Telangana
Medak,"Medak Church, Medak Fort",1–2,3000–5000,"Heritage, Spiritual",Telangana
Karimnagar,"Elgandal Fort, Deer Park",2,4000–7000,"Historical, Nature",Telangana
Khammam,"Khammam Fort, Lakaram Lake",2,4000–7000,"Fort, Scenic",Telangana
Adilabad,"Kuntala Falls, Basar Saraswati Temple",2,4000–7000,"Waterfall, Religious",Telangana
Vemulawada,Raja Rajeshwara Temple,1–2,3000–5000,Religious,Telangana
Dichpally,Ramalayam,1,3000–5000,"Temple, Historical",Telangana
Sircilla,"Godavari River, Handloom Sites",1–2,3000–5000,"Cultural, Riverfront",Telangana
Nirmal,"Nirmal Fort, Handicraft Centers",1–2,3000–5000,"Crafts, Heritage",Telangana
Mancherial,Jannaram Forest,1–2,4000–6000,"Nature, Wildlife",Telangana
Zaheerabad,"Medak Cathedral, Fort",1,3000–5000,"Church, Fort",Telangana
Mahabubnagar,"Pillalamarri, Koilsagar",2,4000–7000,"Nature, Dam",Telangana
Narayanpet,"Weaving Village, Rural Culture",1,3000–5000,"Cultural, Rural",Telangana
Jagtial,"Fort, Temple",1,3000–5000,"Fort, Religious",Telangana
Ramagundam,Thermal Power Plant View,1,3000–5000,"Industrial, Scenic",Telangana
Bhupalpally,"Forests, Godavari Access",1–2,3000–5000,"Nature, River",Telangana
Tawang,"Tawang Monastery, Sela Pass",3–4,8000–12000,"Monastery, Mountain",Arunachal Pradesh
Ziro,"Ziro Valley, Talley Valley Sanctuary",2–3,6000–9000,"Valley, Nature",Arunachal Pradesh
Bomdila,"Bomdila Monastery, View Point",2,5000–8000,"Hill Station, Cultural",Arunachal Pradesh
Itanagar,"Ita Fort, Ganga Lake",2,4000–7000,"Urban, Historical",Arunachal Pradesh
Dirang,"Dirang Dzong, Hot Water Spring",2,5000–8000,"Valley, Scenic",Arunachal Pradesh
Pasighat,Daying Ering Wildlife Sanctuary,2,4000–7000,"Wildlife, River",Arunachal Pradesh
Roing,"Mehao Lake, Mayudia Pass",2–3,6000–9000,"Lake, Pass",Arunachal Pradesh
Anini,Seven Lakes Trek,3,7000–11000,"Trekking, Nature",Arunachal Pradesh
Aalo,"Patum Bridge, Donyi Polo Temple",2,4000–7000,"Nature, Religious",Arunachal Pradesh
Tezu,"Parashuram Kund, Tezu Museum",2,4000–7000,"Pilgrimage, Scenic",Arunachal Pradesh
Seppa,"Pacha River, Hills",1–2,4000–6000,"River, Hills",Arunachal Pradesh
Changlang,Namdapha National Park,2–3,6000–10000,"Wildlife, Forest",Arunachal Pradesh
Yingkiong,Mouling National Park,2,4000–7000,"Forest, Hills",Arunachal Pradesh
Khonsa,"Khonsa Museum, Tribal Culture",2,4000–7000,"Cultural, Tribal",Arunachal Pradesh
Hayuliang,"Lohit River, Hills",2,4000–7000,"River, Mountain",Arunachal Pradesh
Daporijo,"Subansiri River, Tribal Villages",2,4000–7000,"Cultural, River",Arunachal Pradesh
Koloriang,"Kamla River, Hills",2,4000–7000,"River, Nature",Arunachal Pradesh
Tuting,"Siang River, Mountains",2,4000–7000,"River, Trekking",Arunachal Pradesh
Mechuka,"Sambo Gompa, Mechuka Valley",2–3,6000–9000,"Valley, Monastery",Arunachal Pradesh
Likabali,"Tribal villages, Nature trails",2,4000–7000,"Cultural, Nature",Arunachal Pradesh
Guwahati,"Kamakhya Temple, Umananda Island",2,4000–7000,"Urban, Religious",Assam
Kaziranga National Park,"Jeep Safari, Elephant Safari",2–3,6000–10000,"Wildlife, Nature",Assam
Majuli,"Satras, River Island Views",2,4000–7000,"River Island, Cultural",Assam
Tezpur,"Agnigarh Hill, Mahabhairav Temple",2,4000–7000,"Historical, Religious",Assam
Jorhat,Hoollongapar Gibbon Sanctuary,2,4000–7000,"Wildlife, Culture",Assam
Sivasagar,"Rang Ghar, Talatal Ghar",2,4000–7000,"Heritage, Architecture",Assam
Dibrugarh,"Tea Gardens, Dibrugarh University",2,4000–7000,"Tea, Education",Assam
Barpeta,"Barpeta Satra, Manas National Park",2,4000–7000,"Spiritual, Wildlife",Assam
Manas National Park,"Jeep Safari, Bansbari Range",2–3,6000–10000,"Biosphere, Forest",Assam
Haflong,"Haflong Lake, Jatinga",2,5000–8000,"Hill Station, Nature",Assam
Diphu,"Botanical Garden, Arboretum",2,4000–6000,"Cultural, Nature",Assam
Nagaon,"Bordowa Than, Laokhowa Sanctuary",2,4000–7000,"Religious, Wildlife",Assam
Silchar,"Dolu Lake, Khaspur",2,4000–7000,"Urban, Historical",Assam
Tinsukia,Dibru-Saikhowa National Park,2–3,5000–9000,"Wildlife, River",Assam
North Lakhimpur,"Narayanpur, Bordoloni",2,4000–6000,"Rural, Cultural",Assam
Goalpara,"Sri Surya Pahar, Dadan Hills",2,4000–6000,"Heritage, Hills",Assam
Karimganj,Chhatachura Range,1–2,4000–6000,"Nature, Rural",Assam
Bongaigaon,"Bagheshwari Temple, Koya Kujia Lake",2,4000–6000,"Religious, Lake",Assam
Morigaon,Pobitora Wildlife Sanctuary,2,4000–7000,"Wildlife, Nature",Assam
Udalguri,Bornadi Wildlife Sanctuary,2,4000–7000,"Wildlife, Hills",Assam
Patna,"Golghar, Patna Museum, Gandhi Maidan",2,4000–7000,"Urban, Historical",Bihar
Bodh Gaya,"Mahabodhi Temple, Bodhi Tree",2,4000–7000,"Religious, Buddhist",Bihar
Rajgir,"Venuvana, Ropeway, Cyclopean Wall",2,4000–6000,"Historical, Nature",Bihar
Nalanda,"Nalanda University Ruins, Nalanda Museum",1–2,3000–6000,"Heritage, Educational",Bihar
Vaishali,"Ashokan Pillar, Buddha Stupa",1–2,3000–6000,"Buddhist, Historical",Bihar
Gaya,"Vishnupad Temple, Falgu River",2,4000–7000,"Religious, Spiritual",Bihar
Muzaffarpur,"Jubba Sahni Park, Litchi Orchards",1–2,3000–5000,"Urban, Agricultural",Bihar
Darbhanga,"Darbhanga Fort, Anand Bagh Palace",2,4000–6000,"Cultural, Architectural",Bihar
Bhagalpur,"Vikramshila University Ruins, River Ganga",2,4000–7000,"Heritage, Riverside",Bihar
Sasaram,"Sher Shah Suri Tomb, Rohtas Fort",2,4000–7000,"Fort, Historical",Bihar
Pawapuri,"Jal Mandir, Digambar Jain Temple",1–2,3000–5000,Jain Pilgrimage,Bihar
Sitamarhi,"Sita Kund, Janaki Mandir",1–2,3000–5000,"Religious, Mythological",Bihar
Buxar,"Buxar Fort, Ganga Ghats",1–2,3000–5000,"Historical, Riverfront",Bihar
Begusarai,Kanwar Lake Bird Sanctuary,1–2,3000–5000,"Nature, Birdwatching",Bihar
Arrah,"Jagdishpur Fort, Arrah House",1–2,3000–5000,"Historical, Colonial",Bihar
Munger,"Bihar School of Yoga, Munger Fort",2,4000–7000,"Wellness, Historical",Bihar
Champaran,"Gandhi Ashram, Motihari Lake",2,3000–6000,"Freedom Movement, Nature",Bihar
Hajipur,"Ramchaura Mandir, Mahatma Gandhi Setu",1,3000–5000,"Religious, River",Bihar
Katihar,"Manihari Ghat, Barari Hill",1–2,3000–5000,"Scenic, Rural",Bihar
Sheikhpura,"Girihinda Pahar, Religious Spots",1,3000–5000,"Pilgrimage, Nature",Bihar
Raipur,"Mahant Ghasidas Museum, Nandan Van Zoo",2,4000–7000,"Urban, Cultural",Chhattisgarh
Jagdalpur,"Chitrakote Falls, Anthropological Museum",2–3,5000–8000,"Waterfall, Tribal Culture",Chhattisgarh
Bastar,"Tribal Villages, Danteshwari Temple",2–3,5000–8000,"Tribal, Spiritual",Chhattisgarh
Dantewada,"Danteshwari Temple, River Views",2,4000–7000,"Religious, Scenic",Chhattisgarh
Chitrakote Falls,"Chitradhara Falls, Tirathgarh Falls",2,5000–8000,"Nature, Waterfall",Chhattisgarh
Bhoramdeo,"Bhoramdeo Temple, Wildlife Sanctuary",1–2,3000–5000,"Religious, Wildlife",Chhattisgarh
Kanger Valley,"Kanger Valley National Park, Caves",2–3,5000–8000,"Forest, Wildlife",Chhattisgarh
Mainpat,"Tiger Point, Tibetan Settlement",2,4000–7000,"Hill Station, Buddhist",Chhattisgarh
Sirpur,"Lakshman Temple, Buddhist Monastery",1–2,3000–5000,"Heritage, Archaeological",Chhattisgarh
Bilaspur,"Achanakmar Wildlife Sanctuary, Kanan Pendari",2,4000–7000,"Wildlife, Nature",Chhattisgarh
Ambikapur,"Mahamaya Temple, Jogimara Caves",2,4000–7000,"Religious, Historical",Chhattisgarh
Koriya,"Amrit Dhara Falls, Guru Ghasidas Park",2,4000–6000,"Waterfall, Nature",Chhattisgarh
Dhamtari,"Gangrel Dam, Sitanadi Sanctuary",2,4000–6000,"Dam, Adventure",Chhattisgarh
Charre Marre,"Charre Marre Waterfalls, Nature Trail",1,3000–5000,"Waterfall, Scenic",Chhattisgarh
Bhilai,"Maitri Bagh Zoo, Bhilai Steel Plant",2,4000–6000,"Urban, Industrial",Chhattisgarh
Jashpur,"Kailash Gufa, Kotebira Eb River",2,4000–7000,"Adventure, Scenic",Chhattisgarh
Korba,"Hasdeo River, Thermal Plant Tour",1–2,4000–6000,"Industrial, River",Chhattisgarh
Raigarh,"Gomarda Reserve Forest, Hill Views",2,4000–7000,"Forest, Wildlife",Chhattisgarh
Balod,"Ganga Maiya Temple, Tandula Dam",1,3000–5000,"Religious, Dam",Chhattisgarh
Kawardha,"Kawardha Palace, Bhoramdeo Complex",1–2,3000–5000,"Royal, Religious",Chhattisgarh
Panaji,"Miramar Beach, Church of Our Lady of the Immaculate Conception",2,4000–7000,"Urban, Historical",Goa
Baga Beach,"Calangute Beach, Tito’s Nightclub",2,6000–10000,"Beach, Party",Goa
Anjuna Beach,"Chapora Fort, Anjuna Flea Market",2,5000–8000,"Beach, Relaxation",Goa
Candolim Beach,"Fort Aguada, SinQ Beach",2,5000–8000,"Beach, Historical",Goa
Colva Beach,"Betalbatim Beach, Benaulim Beach",2,4000–7000,"Beach, Family",Goa
Palolem Beach,"Butterfly Beach, Cabo De Rama Fort",2,5000–9000,"Beach, Scenic",Goa
Vagator Beach,"Chapora Fort, Anjuna Flea Market",2,4000–7000,"Beach, Party",Goa
Arambol Beach,"Sweet Water Lake, Paragliding",2,5000–8000,"Beach, Adventure",Goa
Morjim Beach,"Chapora River, Mandrem Beach",2,4000–7000,"Beach, Nature",Goa
Dona Paula,"Dona Paula Viewpoint, National Oceanography Institute",2,4000–7000,"Beach, Scenic",Goa
Calangute Beach,"Candolim Beach, Fort Aguada",2,5000–8000,"Beach, Historical",Goa
Chapora Fort,"Vagator Beach, Anjuna Beach",1,3000–5000,"Historical, Scenic",Goa
Fort Aguada,"SinQ Beach, Candolim Beach",2,4000–7000,"Historical, Beach",Goa
Basilica of Bom Jesus,"Se Cathedral, Museum of Christian Art",1–2,3000–6000,"Religious, Cultural",Goa
Se Cathedral,"St. Cajetan Church, Museum of Christian Art",1,3000–5000,"Religious, Historical",Goa
Dudhsagar Waterfalls,Bhagwan Mahavir Wildlife Sanctuary,2,5000–8000,"Waterfall, Nature",Goa
Spice Plantations,"Sahakari Spice Farm, Savoi Plantation",1–2,3000–6000,"Nature, Educational",Goa
Cotigao Wildlife Sanctuary,Netravali Wildlife Sanctuary,2,4000–7000,"Wildlife, Nature",Goa
Netravali Waterfall,"Cotigao Wildlife Sanctuary, Savoi Plantations",2,4000–7000,"Waterfall, Wildlife",Goa
Chapora River,"Chapora Fort, Vagator Beach",1,3000–5000,"River, Adventure",Goa
Ahmedabad,"Sabarmati Ashram, Jama Masjid",2,4000–7000,"Urban, Historical",Gujarat
Gandhinagar,"Akshardham Temple, Indroda Nature Park",1–2,3000–6000,"Cultural, Nature",Gujarat
Vadodara (Baroda),"Lakshmi Vilas Palace, Sayaji Baug",2,4000–7000,"Royal, Botanical",Gujarat
Surat,"Dumas Beach, Sardar Patel Museum",1–2,3000–6000,"Coastal, Cultural",Gujarat
Rajkot,"Watson Museum, Rotary Dolls Museum",1–2,3000–6000,"Cultural, Museum",Gujarat
Bhavnagar,"Takhteshwar Temple, Victoria Park",2,3500–6500,"Religious, Urban",Gujarat
Dwarka,"Dwarkadhish Temple, Rukmini Devi Temple",2,5000–8000,"Pilgrimage, Coastal",Gujarat
Somnath,"Somnath Temple, Triveni Sangam",1–2,4000–7000,"Pilgrimage, Coastal",Gujarat
Junagadh,"Uparkot Fort, Girnar Hills",2–3,4000–8000,"Fort, Hill Station",Gujarat
Gir National Park,"Devaliya Safari Park, Gir Interpretation Zone",2–3,6000–10000,"Wildlife, Forest",Gujarat
Kutch (Bhuj),"Great Rann of Kutch, Kutch Museum",2–3,6000–10000,"Desert, Cultural",Gujarat
Saputara,"Saputara Lake, Sunset Point",1–2,4000–7000,"Hill Station, Scenic",Gujarat
Palitana,"Shatrunjaya Temples, Jain Museum",1–2,3000–6000,"Pilgrimage, Heritage",Gujarat
Modhera,"Sun Temple, Rani ki Vav (Patan)",1,3000–5000,"Temple, Architectural",Gujarat
Rani ki Vav (Patan),"Patan Museum, Sahasralinga",1,3000–5000,"Stepwell, Heritage",Gujarat
Champaner-Pavagadh,"Champaner Archaeological Park, Pavagadh Hill",2,4000–7000,"Archaeological, Hill Station",Gujarat
Bharuch,"Narmada Riverfront, Golden Bridge",1–2,3000–6000,"Riverfront, Historical",Gujarat
Ambaji,"Ambaji Temple, Gabbar Hill",1–2,3000–6000,"Pilgrimage, Hill Station",Gujarat
Mandvi,"Vijay Vilas Palace, Mandvi Beach",2,4000–7000,"Heritage, Coastal",Gujarat
Pavagadh Hill & Palace,"Kalika Mata Temple, Archaeological Site",1–2,3000–6000,"Pilgrimage, UNESCO Heritage Site",Gujarat
Gurugram (Gurgaon),"Kingdom of Dreams, Qutub Khan’s Tomb",1,3500–7000,"Urban, Entertainment",Haryana
Faridabad,"Surajkund (Craft Mela), Badkhal Lake",1–2,3000–6000,"Cultural, Nature",Haryana
Panipat,"Ibrahim Lodhi’s Kabuli Bagh, Panipat Museum",1,2500–4500,"Historical, Fort",Haryana
Kurukshetra,"Brahma Sarovar, Jyotisar",1–2,3000–6000,"Religious, Historical",Haryana
Panchkula,"Pinjore Gardens, Cactus Garden",1,3000–6000,"Garden, Scenic",Haryana
Morni Hills,"Tikkar Taal Lake, Morni Fort",2,4000–7000,"Hill Station, Nature",Haryana
Sultanpur Bird Sanctuary,Migratory Waterfowl Viewing,1,3000–5000,"Wildlife, Bird Sanctuary",Haryana
Hisar,"Firoz Shah Palace, Agroha Mound",1–2,3000–6000,"Heritage, Archaeological",Haryana
Narnaul,"Jal Mahal, Collegiate Church",1,3000–6000,"Heritage, Religious",Haryana
Yamunanagar,"Adi Badri Temples, Kapal Mochan",2,4000–7000,"Religious, Nature",Haryana
Karnal,"Karna Lake, Cantonment Park",1,3000–6000,"Lake, Urban",Haryana
Rohtak,"Tilyar Lake, ASI Park",1,3000–6000,"Leisure, Nature",Haryana
Jind,"Ramgarh Lake, Umra Narayan Temple",1–2,3000–6000,"Leisure, Religious",Haryana
Kaithal,"Sheikh Chehli Tomb, Tomb of Mirza Aziz Koka",1,3000–6000,"Heritage, Religious",Haryana
Rewari,"Heritage Steam Locomotive Museum, Rajiv Gandhi Herbal Park",1,3000–6000,"Museum, Botanical",Haryana
Ambala,"Japanese Garden, Ambala Air Force Station Museum",1,3000–6000,"Cultural, Historical",Haryana
Nuh (Mewat),"Kotla Fort, Nalhar Mahadev Temple",1,3000–6000,"Fort, Religious",Haryana
Farrukhnagar,"Farrukhnagar Lake, Colonial-Era Havelis",1,3000–6000,"Heritage, Scenic",Haryana
Karnal Cantonment,"Amar Jawan Jyoti, Springdales Park",1,2500–5000,"War Memorial, Recreation",Haryana
Pinjore,"Morni Hills (short trip), Yadavindra Gardens",1–2,3000–6000,"Gardens, Hill Base",Haryana
Shimla,"Mall Road, Jakhu Temple",2–3,5000–8000,"Hill Station, Urban",Himachal Pradesh
Manali,"Rohtang Pass, Solang Valley",3–4,7000–12000,"Mountain, Adventure",Himachal Pradesh
Dharamshala,"McLeod Ganj, Bhagsu Falls",2–3,6000–10000,"Spiritual, Scenic",Himachal Pradesh
Dalhousie,"Khajjiar, Satdhara Falls",2–3,6000–9000,"Hill Station, Nature",Himachal Pradesh
Kullu,"Great Himalayan National Park, River Rafting Spots",2–3,7000–11000,"Adventure, Nature",Himachal Pradesh
Kasauli,"Monkey Point, Gilbert Trail",1–2,4000–7000,"Hill Station, Quiet Retreat",Himachal Pradesh
Chamba,"Chamera Lake, Bhuri Singh Museum",2,5000–8000,"Cultural, Riverside",Himachal Pradesh
Kinnaur,"Sangla Valley, Kamru Fort",3,8000–13000,"Valley, Cultural",Himachal Pradesh
Spiti Valley,"Key Monastery, Chandratal Lake",4–5,9000–15000,"Deserted Highlands, Trekking",Himachal Pradesh
Tirthan Valley,"Jalori Pass, Great Himalayan National Park",2–3,6000–10000,"Wildlife, River",Himachal Pradesh
Jibhi,"Jibhi Waterfall, Serolsar Lake",2,5000–8000,"Secluded, Nature",Himachal Pradesh
Reckong Peo,"Kinnaur Kailash Viewpoint, Sangla",2,7000–11000,"Scenic, Cultural",Himachal Pradesh
Khajjiar,"Khajjiar Lake, Mini Switzerland",1–2,5000–8000,"Meadow, Panoramic",Himachal Pradesh
Bir Billing,"Paragliding Launch Site, Bir Tea Factory",2,6000–10000,"Adventure, Cultural",Himachal Pradesh
Great Himalayan NP,"Wildlife Tours, Conservation Centre",2–3,6000–10000,"National Park, Wildlife",Himachal Pradesh
Sarchu,"High?altitude Camp, Road to Leh",1–2,7000–12000,"Base Camp, Scenic",Himachal Pradesh
Palampur,"Tea Gardens, Baijnath Temple",1–2,4000–7000,"Tea Estates, Spiritual",Himachal Pradesh
Mandi,"Shiv Temple Complex, Rewalsar Lake",2,5000–8000,"Religious, Lakeside",Himachal Pradesh
Chitkul,"Baspa River, India’s Last Village",1–2,6000–9000,"Remote, Nature",Himachal Pradesh
Barot,"Uhl River, Barot Dam",1–2,5000–8000,"Secluded, Angling",Himachal Pradesh
Ranchi,"Rock Garden, Hundru Falls",2,4000–7000,"Urban, Waterfall",Jharkhand
Jamshedpur,"Jubilee Park, Dalma Wildlife Sanctuary",1–2,3500–6000,"Urban, Nature",Jharkhand
Deoghar,"Baba Baidyanath Temple, Nandan Pahar",2,4000–7000,"Pilgrimage, Hill",Jharkhand
Hazaribagh,"Hazaribagh National Park, Canary Hill",2,4500–7500,"Wildlife, Scenic",Jharkhand
Netarhat,"Magnolia Point, Betla National Park",2–3,5000–8000,"Sunrise Point, Forest",Jharkhand
Betla National Park,"Elephant Rides, Safari Tours",2,6000–10000,"Wildlife, National Park",Jharkhand
Parasnath (Shikharji),"Jain Temples, Hilltop Trek",2–3,5000–8500,"Religious, Trekking",Jharkhand
Hundru Falls,"Jarkhandi Bridge, Poolside Areas",1,3000–6000,"Waterfall, Picnic Spot",Jharkhand
Dassam Falls,"Vishnu Spring, Picnic Areas",1,3000–6000,"Waterfall, Nature",Jharkhand
Topchanchi,"Topchanchi Lake, Temple",1,3000–5000,"Lake, Spiritual",Jharkhand
Palamu,"Palamu Forts, Mukauri Hills",2,4500–8000,"Fort, Wildlife Sanctuary",Jharkhand
Jonha Falls,"Gautam Budh Park, Viewpoints",1,3000–6000,"Waterfall, Park",Jharkhand
